Vcell	Icell	time
4.099650	1.680000	30.251833
4.100250	1.680000	30.285500
4.099650	1.680000	30.319333
4.100540	1.670000	30.353000
4.099350	1.680000	30.386667
4.100540	1.670000	30.420333
4.100540	1.670000	30.454167
4.101140	1.660000	30.487833
4.099060	1.670000	30.521667
4.099350	1.670000	30.555333
4.098760	1.670000	30.589000
4.098460	1.670000	30.622667
4.099350	1.670000	30.656333
4.099060	1.660000	30.690167
4.101730	1.650000	30.723833
4.100540	1.650000	30.757667
4.100250	1.650000	30.791500
4.100540	1.650000	30.825167
4.100250	1.650000	30.858833
4.099650	1.640000	30.892667
4.099650	1.650000	30.926500
4.099350	1.640000	30.960167
4.100250	1.630000	30.994000
4.100250	1.630000	31.027833
4.099350	1.630000	31.061500
4.099060	1.630000	31.095167
4.099950	1.620000	31.129000
4.101140	1.620000	31.162667
4.099650	1.620000	31.196500
4.099350	1.620000	31.230167
4.100250	1.610000	31.264000
4.101440	1.610000	31.297667
